1,City of Johannesburg,Gauteng
2,City of Tshwane,Gauteng
3,Ekurhuleni,Gauteng
4,Sedibeng,Gauteng
5,West Rand,Gauteng
6,Midvaal,Gauteng
7,Lesedi,Gauteng
8,Emfuleni,Gauteng
9,City of Cape Town,Western Cape
10,Stellenbosch,Western Cape
11,Drakenstein,Western Cape
12,George,Western Cape
13,Knysna,Western Cape
14,Overstrand,Western Cape
15,Swartland,Western Cape
16,Witzenberg,Western Cape
17,eThekwini,KwaZulu-Natal
18,uMgungundlovu,KwaZulu-Natal
19,iLembe,KwaZulu-Natal
20,King Cetshwayo,KwaZulu-Natal
21,uThukela,KwaZulu-Natal
22,Harry Gwala,KwaZulu-Natal
23,Zululand,KwaZulu-Natal
24,uMkhanyakude,KwaZulu-Natal
