1,Laptop,Electronics,1200.00,2.50
2,Smartphone,Electronics,800.00,0.50
3,Office Chair,Furniture,250.00,15.00
4,Running Shoes,Sports,110.00,1.20
5,Blender,Appliances,75.00,3.00
6,T-Shirt,Clothing,20.00,0.30
7,Vitamin C,Health,15.00,0.20
8,Novel Fiction,Books,15.00,0.40
9,Headphones,Electronics,150.00,0.80
10,Yoga Mat,Sports,35.00,1.50
11,Microwave,Appliances,120.00,12.00
12,Jeans,Clothing,55.00,0.80
13,Tablet,Electronics,600.00,0.70
14,Protein Powder,Health,50.00,1.00
15,Coffee Maker,Appliances,60.00,2.50
