1,Johannesburg DC,Gauteng,South Africa,-26.204100,28.047300
2,Cape Town DC,Western Cape,South Africa,-33.924900,18.424100
3,Durban DC,KwaZulu-Natal,South Africa,-29.858700,31.021800
4,Pretoria Hub,Gauteng,South Africa,-25.747900,28.229300
5,London Hub,England,UK,51.507400,-0.127800
6,Manchester DC,England,UK,53.480800,-2.242600
7,New York DC,New York,USA,40.712800,-74.006000
8,Los Angeles Hub,California,USA,34.052200,-118.243700
9,Sydney DC,NSW,Australia,-33.868800,151.209300
10,Dubai Hub,Dubai,UAE,25.204800,55.270800
