1,Johannesburg,Gauteng,South Africa,-26.204100,28.047300,ZAR
2,Cape Town,Western Cape,South Africa,-33.924900,18.424100,ZAR
3,Durban,KwaZulu-Natal,South Africa,-29.858700,31.021800,ZAR
4,Pretoria,Gauteng,South Africa,-25.747900,28.229300,ZAR
5,Soweto,Gauteng,South Africa,-26.267700,27.858800,ZAR
6,Dubai,Dubai,UAE,25.204800,55.270800,AED
7,Abu Dhabi,Abu Dhabi,UAE,24.453900,54.377300,AED
8,London,England,UK,51.507400,-0.127800,GBP
9,Manchester,England,UK,53.480800,-2.242600,GBP
10,Birmingham,England,UK,52.486200,-1.890400,GBP
11,New York,New York,USA,40.712800,-74.006000,USD
12,Los Angeles,California,USA,34.052200,-118.243700,USD
13,Chicago,Illinois,USA,41.878100,-87.629800,USD
14,Houston,Texas,USA,29.760400,-95.369800,USD
15,Atlanta,Georgia,USA,33.749000,-84.388000,USD
