1,ShopRite SA,Retail,South Africa
2,Checkers,Retail,South Africa
3,Pick n Pay,Retail,South Africa
4,Woolworths SA,Retail,South Africa
5,Takealot,E-Commerce,South Africa
6,Netflorist,E-Commerce,South Africa
7,Uber Eats SA,Food Delivery,South Africa
8,Mr Delivery,Food Delivery,South Africa
9,Discovery Health,Healthcare,South Africa
10,Mediclinic,Healthcare,South Africa
11,Emirates Airlines,Travel,UAE
12,Dubai Mall,Retail,UAE
13,Carrefour UAE,Retail,UAE
14,Amazon UK,E-Commerce,UK
15,Tesco,Retail,UK
16,ASOS,E-Commerce,UK
17,Deliveroo,Food Delivery,UK
18,Amazon USA,E-Commerce,USA
19,Walmart,Retail,USA
20,Uber Eats USA,Food Delivery,USA
21,Netflix,Streaming,USA
22,Spotify,Streaming,USA
23,Apple Store,Technology,USA
24,Best Buy,Technology,USA
25,Airbnb,Travel,USA
